videoTittle;commentsTotal;commentsPositive;commentsNegative;commentsNeutral
Joshua Bassett Crisis Official Music Video;1019;604;268;147
Joshua Bassett Crisis Official Music Video;1019;59.27%;26.3%;14.43%
