,comentario,liguagem
78,This is the perfect example of how a song can change your life forever.,en
79,"“I need that money like that ring I never won”

As an Iverson fan, I felt that one...",en
80,Every song he makes gets millions to billions of views… 7 years after his 1st hit he has hit diamond and platinum multiple times. And no matter where u go you’ll end up hearing ( sun flower ) on the radio,en
81,This has to be one of the most chill songs ever in this genre,en
82,Muito top.,en
83,Congratulation  for  1 billion views but it deserves more,en
84,Fun Fact: This song is still a banger to this very Second,en
85,"never gets old, love the snowy sound",en
86,"Song came out 7 years ago, used to always play and hear this..Ah the good old days",en
87,Post malone your sound never gets old ,en
88,Summer vibes in the old days️,en
89,7 years old and still slaps,en
90,7 years later and this still goes hard like it dropped yesterday ,en
91,Still my favorites ,en
92,This was my brother’s favorite song before he passed every time I hear it I feel his presence,en
93,I love this song,en
94,Looking back at a playlist I made 6 years ago and this was #2 on my list... Still vibes the same as it did back then.,en
95,Man.. I was 19 when this came out this brings back so many memories..,en
96,I remember he performed a show at the local fair here in Tucson when this first came out. Nobody really knew who he was but I knew dude was finna be a star! Haha glad I got to see him before he got crazy big.,en
97,Just A Masterpiece My Favorite Song By Him,en
98,Love It,en
99,"this song is so sick, people don't understand how legendary this track is",en
100,"Man, the amount of nostalgia this brings. I close my eyes and wake up back in the day chillin w the boys. Indulge in those times y'all don't take it for granted",en
101,Love his music gifted,en
102,One of my favorites still️,en
103,From this to “chemical” your life a movie Post Malone,en
104,I listened to this song when I was in Florida years ago & now I’m living in Utah 28 years old & still banging his music . Great memories POST MALONE A LEGEND,en
105,"2023 and i still love the song
it brings back memories",en
106,Am I the only one who still gets hyped listening to this?,en
107,"This fire even 99 years to come 
It will never fade",en
108,"I remember my older brother putting this on when we were driving down town LA and it only had 468 views, a week and a half later this exact track was on every radio station",en
109,This song deserves the billion views it has.,en
110,Bruh this song has such a nostalgic vibe to it no wonder everyone is talking about the past,en
111,I don't care who sings music I can relate but first I hear the words to see the meaning from the heart,en
112,I just started singing this & ran to listen  still a classic,en
113,Counting years but still vibing to this jam️,en
114,7 years later and this song is still one of my best!!,en
115,i will never get tired of this song,en
116,"Not only is this track still fire, it's one of the dopest low budget videos.",en
117,WHEN THIS COMES UP I LISTEN. TAKE ME BACK TO 2016,en
118,Brings back a lot of memories that once was a good time but now depressing to think about.,en
119,Being in quarantine this song is getting me happy again and again.,en
120,"Everytime I listen make me feel like WOW, like a Rockstar, this bring me the motivation that I need",en
121,"The music is beautiful,the scenery is stunning along with the cars swaying in the sand,nice video ",en
122,"This vid deserves a 4k video to celebrate 1bn views, so blessed to have been listening to posty since the beginning of his career. This man is his own genre... One of the best artists today defo",en
123,Recently saw him live in Copenhagen and when he performed this song the entire arena went ballin,en
124,"My friend showed me this song 5 years ago, sadly he's not with us anymore but yet I still play this song, it hurts but I remember  all the good times we had to this.. R.I.P Nathan faircloth, I love you brother rest easy my man",en
125,Eu escuto essa música sempre que tenho um dia ruim,pt
126,I ain't forgot about you you're one of my best singers in the world cuz you take my pain away no matter what I go through in life,en
127,Even though I love this song I was one of the ones who thought he would be a one hit wonder couldn’t be happier to be so wrong salute ,en
128,"Wow 2015 , what a time to be alive. Glad it’s at 1 billion views",en
129,One of the songs that just gives u a vibe like no other,en
130,This song changed this mans life  1B views and counting. The man still killin it!!!!,en
131,Years later this still bangs,en
132,Still slaps harder today than my uncle and dad together,en
133,I couldn't love this morning. It's about how posty makes us feel. Incredible vibe,en
134,Been here since views were in the hundreds  loved seeing him evolve,en
135,fire song brings back a lot of good memories and always provides great vibes,en
136,Fall 2015 listening to this riding around dirt roads. Some of the best times of my life,en
137,So fire,en
138,It’s crazy how this song started out as a SoundCloud song and blew up this big,en
139,Still fire  will always be in my playlist #585 #2023,en
140,Post malon brings nothing but good vibes big love from Uk,en
141,The feelings i get in are hard to explain but i hope everything goes fine…,en
142,5 years later and this is still my favorite Post Malone song... man was 2016 something else,en
143,love this song,en
144,Congrats on 1b post one of my favorite artists ,en
145,This man is a Legendary status  5/3 thanks for your songs they help me connect with my thing I do ,en
146,"This music reminds me, when I had to go to school at 5 am and I played this music on Apple Music, every time I play it it reminds me of my high school",en
147,Song still hits like on a release day  art ,en
148,"Congratulations that's it 1 billion of views, it's amazing how many of the other music videos stop in one place, but this one never stops in one place, it's always moving with everyone .

Congratulations to the Post, he deserved another achievement .",en
149,"Almost 8 years, still popping this",en
150,7 years and still is master piece,en
151,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
152,7 years later and this man still killing it ,en
153,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
