,comentario,liguagem
60,"Eu escutei essa música no rádio do caminhão, agora tô vindo aqui pra terminar de ver essa obra de arte...",pt
61,Eu sinto uma vibe tão boa ouvindo essa música,pt
62,olhei bem pra eles e gritei: ARTISTAS DE VERDADE,pt
63,"assistindo esse clipe em 2022. cara, surreal a vibe que ele passam, é um paz e tranquilidade nmrl incrivel <3",pt
64,O barulho da água essa música poesia pura ,pt
65,"a música é muito boa, adequada para jovens, parece muito confortável",pt
66,"Aí sim dá vontade de ser amiga desses cantores q são talentosos !!
São lindos ,despolui a nossa mente de tanto lixo em forma de cantores e música ruins q ainda faz sucesso!!
Letras sem duplo sentido!!",pt
67,Sou completamente apaixonada nessa música!!!!!!!!!!!!!!!,pt
68,"Esse clipe, essa música é a coisa mais fofa do mundo!",pt
69,O bonito de olhos claros que podemos observar a pupila dilatar...,pt
70,Que obra de arte! Linda demais essa música.,pt
71,Ainda bem que temos artistas como estes ainda neste país. SZ,pt
72,"Músicas assim tem sentido..
Trás boas sensações ",pt
73,"É tudo tão perfeito que parece que foi gravado assim, sem edições kkkk de tão maravilhoso",pt
74,grande vibe essa musica alimenta a minha alma,pt
75,essa música é excelente quando viajamos a outro lugar. ainda mais com quem amamos kkk,pt
76,Amo essa música ️,pt
77,Isso sim é música boa Brasil ,pt
78,O ano é 2022 e eu amo este estilo de música ️️️,pt
79,"Que clipe maravilhoso ️ , o final com a Vitória explicando as plantas SOCORRO KKKKKKKKKKKKKKKKKKKKKKKKKK",pt
80,Essa música é uma perfeição ,pt
81,Eu as vezes na hora de dormir fico cantando para mim mesma kkkk a música não sai da cabeça aaa,pt
82,Que música mais gostosa de escutar!,pt
83,"A vontade que da de se apaixonar por alguém, só de ouvir essa musica , é muita perfeição ️",pt
84,"Um dia perguntei para ele: qual música fazia ele lembrar de mim ? 
E ele simplesmente me mandou essa ️
A gente não está juntos, mas ele ainda faz a minha pupila dilatar , e o meu coração acelerar ️",pt
85,"Não sei qual é a melhor parte desse clipe:
As legendas
Esse trio se divertindo feito criança (uma delícia!)
Vit no final falando das plantas",pt
86,Muito boa música !!! Letra com conteúdo !!!,pt
