,comentario,liguagem
93,This is a great song; I especially like the part from 2:44 to 3:00.,en
94,This song is masterpiece,en
95,this song never gets old<3,en
96,19 milhões pra 1 bilhão vamo galera mulheressss,pt
97,"Certified Banger, still stand strong after 6 years. Love it came out, still having this in my playlist. ",en
98,One of the best videos and songs for the summer,en
99,I just keep coming back to this song. I can't get enough of it.,en
100,"LYRICS:
I'm so into you, I can barely breathe
And all I wanna do is to fall in deep
But close ain't close enough 'til we cross the line, hey yeah",en
101,Can’t get tired of hearing this master song  ️,en
102,"Masterpiece Ariana, as always",en
103,I LOVE THIS SONG IT'S SO SO GOOD,en
104,this song is my ultimate favorite. Nothing can beat it,en
105,I'm in love with this song ,en
106,IM INTO this song ,en
107,Love...this song... ,en
108,Listened to it in 2016 still one of my fav song ,en
109,This song brings so much good memories into neurons within a second …my old golden times,en
110,Ariana grande Princesa do pop,pt
111,This song is still a jam. Her older stuff is much better than the songs she has put out recently.,en
112,been 6 years and I still want this music video as a movie ,en
113,I AM JUST FRICKIN IN LOVE WITH THIS SONG I LOVE IT I SWEAR ,en
114,"Everytime I listen to this, it feels like I'm going back in time. 2016 hits different.",en
115,There are enough comments about how great the song is so I'm here to say that I'm really into the love story in the MV.,en
116,"5 years later, if you’re still watching this you’re a legend.",en
117,"Girl, you gave me a reason to live! A reminder of the feeling- being in love... Thank you for that!",en
118,I love this song,en
119,The day this video was released was the day I quit drugs. I’ll never forget it. This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
120,I keep coming back to this masterpiece ,en
121,"It’s a pretty song, whole world should listen it.",en
122,Headphones on and Ari's music = heaven ,en
123,We all know that she’s pretty in any way but let’s all take a moment to see how beautiful she is when she’s not with the ponytail (I’ve not against the ponytail but there’s a long time I don’t see her without it),en
124,I love this song!!,en
125,"I still remember when this came out. I was so in love. I’m still in love, so much. .",en
126,Thank you so much Ariana for sharing your gift with the rest of the world.,en
127,this song never get old,en
128,Amazing artist  Amazing beautiful song,en
129,i never get tired of listening to this masterpiece!!! it's one of the few songs i've always loved and is always in my heart<3 let's stream it to 1b!!!🩵,en
130,Ariana grande rainha do pop,pt
131,The world weren’t prepared for this hit in 2016 ️‍,en
132,"1 billion to go, let's do this Arianators !!! ️",en
133,This song makes me fall in love,en
134,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
135,"This song aged like wine. The more I listen, the more I like it.",en
136,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
137,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Frozen In Time” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
138,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
139,The day this video was released was the day my daughter was born. I’ll never forget it. Now she sings it with me! This song and “Clover Cage - Ego Dissolution” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
140,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Frozen In Time” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
141,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
142,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Frozen In Time” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️ ,en
143,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Secret Song” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
144,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
145,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Frozen In Time” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
146,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
147,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Frozen In Time” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
148,BRASIL LOVES THIS,en
149,That beat playing behind the vocals during the chorus gives me chills...,en
150,This is a timeless masterpiece.,en
151,Ainda bem que a época que a ariana lançou essa eu não sofria por ninguém,pt
152,Sounds like one of the 2016 summer hits :),en
153,"I will say that I am obsessed with this song, even though it was released 6 years ago but this song is still lit..... Cause I'm so into you into you ",en
154,And why I'm so into this song! ️,en
155,This will never gets old am I right? I cant stop listening,en
156,"It's such a shame that not every relationships are like this one,this is like magic ",en
157,"Into you and One Last Time will be my forever fav Ari songs
NO MATTER WHAT",en
158,"I just love this song,is magic",en
159,A great example of a pop song that never gets old,en
160,I love this song :),en
161,"Love this song, whoever thought that a song would bring back so many memories ",en
162,The fact I haven't listened to this in two years and still know the lyrics is amazing,en
163,I love ️ your music ,en
