,comentario,liguagem
88,no cover compares like you who sing beautiful 2023 and I love it too much ,en
89,Lovely music video,en
90,"Shawn and Camila : we are just friends.
Me: but the vide-
Shawn and Camila : WE ARE JUST FRIENDS BUT EVERY TOUCH IS OOH LA LA LA!",en
91,Fun fact:you can listen this song anytime anywhere and in any mood ,en
92,Man it felt like 5 years since i heard this and its still the same i am so glad. ,en
93,Its been 3 years and this song is still SO GOOD!!,en
94,Casually searching for some sort of confirmation that Shawn and Camila are dating,en
95,"When you're in love, it hits different",en
96,This is my jam.,en
97,Incredible!!,en
98,"No one:
Literally no one ever:
Me: SHAWN AND CAMILA ARE RELEASING A SONG WOOOOHOOOO",en
99,Love this song so badly man!,en
100,The soulmates are back together ,en
101,3 yrs back this song was such a vibe ,en
102,This song never gets old ,en
103,Let’s celebrate hard ! But the hate waves that will come with it ! Who cares ! Let’s celebrate 1 billion soon !,en
104,"No matter how old this, truly a masterpiece ️",en
105,Yea well I just heard since Coachella they ended up getting back together! I was so happy to hear that! They make a hottt couple!!! N believe it or not today was the first day I ever heard this song! N it was the best such a hott steamy song..lol! You can tell they had some fire chemistry! Glad to hear they are back together!! They make a gorgeous talented couple! Just hope it works out this time for them!!! Huge fans of them both! Wish them both the best and Good luck to them both!,en
106,Im here cause they are back again omgg,en
107,It's so sad that I can't like it more than one time,en
108,"4 year ago, i was listen this song many times in a every day and now I suddenly remembered this song and come here to listen this masterpiece never getting old this song ",en
109,O TANTO QUE ISSO AQ É PERFEITO,pt
110,"I'm here coz im so happy fan, they're getting back together️️️",en
111,Such a friendly song to listen with your friends,en
112,Can't believe they are back together ,en
113,So nobody’s gonna talk about how they hit 1BILLION views !?!?,en
114,They're back together!! yaaayy!!!,en
115,They have undeniable chemistry. You can see in his eyes he really loves her.,en
116,"They're back together, I feel fun. I Love this song
From Vietnam",en
117,Still feel those summer vibes of 2019 ,en
118,"Director:
Shawn's and Camilla's friendship: am i joke to you??",en
119,Always a great song,en
120,I'm here cause I heard the two got back together..gosh i love them,en
121,I'm so happy they're back together! <3,en
122,"Camila: me and Shawn are just friends
Also camila: you say we’re just friends but friends don’t know the way you taste
Me: oH hOneY",en
123,It always gets me emotional ,en
124,WHO'S HERE AFTER THE NEWS FROM COACHELLA 2023 ,en
125,Its been 3yrs and this song feels like as if it's new  i love this song sm ️️,en
126,THEY GOT BACK TOGETHER ,en
127,"the song i always play
really nice to hear",en
128,God I wish i could have “friends” like this... ,en
129,Can finally listen to this again ,en
130,FINALLY BACK TOGETHER!! ️️,en
131,i came back to scream this at the top of my lungs because they’re back tggg,en
132,It's such a masterpiece  but I miss them together ,en
133,"Shawn and Camilla : we are just friend 
Everyone : yeah  we know so when is the wedding",en
134,This song never gets old. No matter how much i listen. I never gets bored.,en
135,These two voices together are absolute magic!! Could listen to it over and over.,en
136,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
137,"I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la
It's true, la-la-la",en
138,This song never gets old. No matter how much I listen. I never gets bored.,en
139,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
140,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
141,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
142,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
143,This masterpiece reminds me of my loved one,en
144,They are a match made in heaven ,en
145,They're back!,en
146,"shawn: “she loves it when i come..”
me: well damn i guess he went there ",en
147,Ohh god can't get enough of it ,en
148,"So we are back here after the Coachella thing, am I right??? ",en
149,"Camila and Shawn: were just friends

Senorita: am i a joke to you",en
150,Love this song so much ,en
151,"0:20

I love it when you call me señorita
I wish I could pretend I didn't need ya",en
152,vários motivos para voltar aqui sim,pt
153,"Camila & Shawn: we’re just friends 

All: LA LA LA LIE",en
154,One of my best ,en
155,I love this song ,en
156,Three years later and this is STILL in my playlist it a true materpiece. This song never get old for me*like if you think this song is amazing if not just like still,en
157,I got feelings for love after this song ,en
158,I remembered this masterpiece at my office  and now am here to hear this.,en
159,"Shawn and Camila: We're just friends
Señorita video: No
Ed Sheeran: Friends just sleep in another bed",en
160,Love  the song on loop,en
161,This song reminds me of a stranger that I met at railway station . He was playing this song in auto . I couldn't even ask his name as I was with my mother lol. I wish I could meet him again .,en
162,This song is incredible. I’m so proud of you Shawn for making this amazing song for everyone who loves your songs. I am in love with you and Camila. You guys are just amazing singers. I’m so proud of you. Camila has an amazing voice. Your voice and her voice are beautiful together. You guys blow my mind so much. I love you both so much. You guys means the world to me. I had my first kiss with my cousin Wyatt and it was just amazing. I love you guys so much. This song is beautiful. You guys always inspire me. I love you guys so much. This song is beautiful.,en
163,They back toogether ️️,en
164,"Director: How much do you want confusion?
Camila and Shawn: YeS",en
165,I love this song     ,en
166,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
167,WHO WATCH THIS AFTER THEY REUNITED AT THE COACHELLLA,en
168,"Shawn and Camilla: ""we're just friends""

directors: tHaT iS nOt coRrECt",en
169,they’re back together ,en
170,"Señorita / Shawn Mendes
I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la",en
171,lindo ,pt
172,They're together again  I'm so happy ,en
173,"Shawn: I love it when you call me Señorita
Me:
Shawn: uh lalala",en
174,"Timeless romantic, passionate and ecstatic song . Absolutely fantastic MaDness instilled in this song of passion.",en
175,This video just gives a different vibe ️,en
176,I love this song. ,en
177,I come here bcs i saw news abt them getting back together ,en
178,"Them: “ we just friends”

Us: but friends don’t know how u taste”",en
179,They’re back together! ,en
180,Three years have passed but I still listen to this song,en
181,This song is always stuck in my head.,en
182,This song just hits like I’m still here,en
183,"Ahhhh , they are together againnn ahhhhhh , love itt ",en
184,"Camila:Hey shawn wanna make a song together?
Shawn:Si señorita
Camila:I love it when you call me señorita:)
BACK TO MY HOTEL",en
185,Senorita brings all the memories of my class 10! Only nostalgic feels ️,en
186,they’re back together ,en
187,eles tão juntos de novo ️️️,pt
188,Damm this song never gets old ️️,en
189,Watching after seeing the video of them getting back together....in insta 🫠️ they're really making me happy ️,en
190,"Part 1: IKWYDLS
Part 2: Señorita

Okay...but now we need PART 3 please",en
191,This song was my childhood I am honestly getting so emotional whenever I listen to this song it brings back 2019 vibes I also am sad that Shawn and camilla aren't dating anymore but it was there disicion and I can't change it,en
192,yes the kiss was deadly at coachella night  ,en
193,"I love it when l listen this song
Because this is masterpiece
I wish l could listen this song whole year
But every lyrics is true lalalala",en
194,Not sure if they were dating here but the chemistry was  The are so cute and their voices ,en
195,"Camilla: we’re just friends la la la 

Fans: we know you’re joking ha ha ha",en
196,coming back here when I learned the humors that they're dating again ,en
197,"I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la
It's true, la-la-la",en
198,Salena Gomez Vocal Chords are at another level . No one even Compete with her  . She is A model for others ,en
199,The fact my name is Camila and i love singing-,en
200,"Interviewer: Are you 2 dating?

Shawn and Camila: Well yes but actually no",en
201,This song really does belong to them :),en
202,they should make a movie about this song.. with shawn and camila acting... will be so beautiful....,en
203,I love them so much,en
204,"I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la
It's true, la-la-la",en
205,"I know what you did last summer 


You called me señorita",en
206,"How sweet this song is, awesome ",en
207,Amo essa musica,pt
208,"I liked it too, perfect",en
209,"Shawn and Camila: we just friends
Me: I SEE A KISS",en
210,This is amazing I can watch this 100 times  you deserve your subscribers and likes,en
211,Not even a single kiss but still the hottest scenes ️‍,en
212,"love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la
It's true, la-la-la",en
213,"Shawn and Camila: were just friends

Also Shawn and Camila: Kissing",en
214,I just Love listening this song. ,en
215,BINGE LISTENING. . .CAN'T GET ENOUGH OF THISSSSS !!! CLOSE MY EYES & ️     OOOO LALA. . .YOU KNOW WHY I FEEL THIS BILL.  ️   ,en
216,This song is one of the best masterpiece for every love birds ️,en
217,i love this song,en
218,"I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la
It's true, la-la-la",en
219,"Director: How many fans you want   dead
Shawn and Camila: Yes",en
220,OMG Are you guys really getting back together??? ,en
221,The most romantic song forvever. I love it forever,en
222,WHEN I HEAR THIS SONG SOME MEMORIES COME BACK ,en
223,omg!!!! this song views is 1.5b ,en
224,"Shawn: We look like a couple
Camilla cabello: like a couple of friends

Chris Evans/Scarlett Johansson: Thieves!!",en
225,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
226,After 2 year I will see it crossing 3B views,en
227,the bestt,en
228,"shawn and camila: we're just friends
me: we can see this fRiEnDsHiP",en
229,What a wonderful “touching” sense in this work. ️,en
230,I love them together!!! Yeahhhh,en
231,"no way this is 3 years old
it feels so much older",en
232,"I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la
It's true, la-la-la",en
233,"We're just F.R.I.E.N.D.S

Us: YEAH WE CAN TOTALLY SEE THAT",en
234,I wish you guys could be together as you were,en
235,Am I only one who remembers the vibe of year 2019 by this song? ,en
236,"Who had come after listening that Camilia and Shwan are back ️ 

They are best Hollywood couple I love them to see her l wish that they would Collab many song in future I hope so....",en
237,"Shawn and Camila : We're just friends
Director : and i oop-",en
238,Sweat voice,en
239,It goes without saying Camilla and Shawn you da best ️️ sincerely this song makes me feel like I am dreaming it's amazing every time I listen to I feel free and special thank you it will still my favorite ,en
240,POV - They are back together and u are here,en
241,"Shawn and Camila:were just friends

This video:I’d like to disagree",en
242,They seemed like such a good solid couple makes me happy to see them maybe reunite,en
243,Who's here after it was announced that they got back together 🥹,en
244,What a great song,en
245,Todis savem pra quem foi essa MSC ,pt
246,"Shawn: I know what you did last summer 
Camila: yea, me
Me:I-",en
247,This is my favorite song ,en
248,they got together again !! ,en
249,This song is really beautiful,en
250,Who is here after they are back together ,en
251,"Shawn and Camila: We're just friends 
Me:friends do not make sexy videos",en
252,"Very cool, Camila, this song never gets old, no matter what happens. It's really amazing. I love you from the land of the Pharaohs, Egypt. Listen to it on 04/1/2023",en
253,My ringtone ,en
254,Who came here to listen to this after I heard they kinda got back together ,en
255,Always  crushing ,en
256,Pesado ,pt
257,"Shawn & Camila: we’re just friends la la la

Fans: we know you’re joking 
ha ha ha",en
258,"Damn...I felt so sad when I heard they broke up . They were my favourite couple in the music industry, literally they look so perfect with eachother. But, let's just support their decision  and cheer them on ",en
259,The girl named Senorita becomes like oohh** after this song!! Such a masterpiece!! Hardly love to see shawn and camilla again together,en
260,OMG,pt
261,My favorite  takes me to another level,en
262,This is stick my favorite English song ever i love Shawn Mendes voice,en
263,"Shawn N camilla: ""you say we're just friends ou lalala""
People: ""the chemistry don't laie tho ou lalala""",en
264,My most favourite song ever never old this song music that was amazing this song will be give me new feeling,en
265,"Shawn and Camila make a baby together.
Also Shawn and camila- we're just *friends* !",en
266,This song and “Clover Cage - Ego Dissolution” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
267,I’m here because of Coachella ,en
268,Just walked out of an abusive relationship because this song and “Clover Cage - Learning To Love Myself” are the two songs that got rid of my depression. I’m free . I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
269,From Now We Can Believe That Love Can Be Successful  Because Our Fav Persons Are Back Finally ,en
270,Guys vamos mostrar que amamos NOSSA SHAWN CAMILA !!,pt
271,E muito boa que lindo eu amo,pt
272,Real love don't stop ,en
273,I love this song !!!!!,en
274,Who's here after when u heard the news that Shawn and Camilla reunited at Coachella,en
275,"1:50 ""You say that we're just friends but friends don't know they way you taste"" 

— I'm DeAd",en
276,My babies are back together ,en
277,That's always a blast for all of us while we die,en
278,The song just came randomly in my mind and I had to watch it again 2023,en
279,this song is another level,en
280,"""You say were just friends but friends dont know the way you taste ""️",en
281,Damn i miss this song sm,en
282,There's something in this masterpiece,en
283,Happy on their reunion ,en
284,"I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la
It's true, la-la-la",en
285,"Camila: Cause I know it’s been a long time don’t you let me fall 

Shawn: drops her while rehearsing",en
286,This video is like a warm cup of tea in the morning for filmmaking enthusiasts.,en
287,"Shawn and camila: we're just friends
señorita: r u kidding",en
