,comentario,liguagem
89,I am happy Lisa reach this popularity,en
90,MONEY Y BLACKPINK ES TODO LO QUE ESTÁ BIEN,en
91,"Lisa serving those hot dance with YGX dancer!!!  Even the YG’s dancer has the their own fandom. If i was a bandit, i’m heading to YG building RN, probably more Gems & Gold still hidden there.",en
92,Queen of kpop lalisa,en
93,"A maior que nós temos.
Te amo lisa!!!",pt
94,I love  this,en
95,"""BLACKPINK IS THE REVOLUTION"" SEMPRE SERA LENDARIO*",en
96,I watch this song every day so that this girl hits the one billion mark faster,en
97,ate this up ,en
98,I love you my queen.. let's fight this together with blinks & lilies,en
99,"No ano passado, a cantora Lisa, uma das quatro integrantes do BLACKPINK, recebeu recordes mundiais e entrou mais uma vez para ""Guinness Book of World Records"".

Em seus recordes, a cantora se tornou a primeira vencedora solo de K-Pop no MTV Video Music Awards, levando o troféu de melhor artista sul-coreana, além de ganhar como a primeira vencedora solo de K-Pop no MTV Europe Music Awards. Como terceiro recorde a cantora conquistou pela quantidade de seguidores no Instagram para uma artista de K-Pop, atualmente Lisa possui 92,8 milhões de seguidores",pt
100,"Lisa is the cutest youngest member.  ,/⁠ᐠ⁠｡⁠ꞈ⁠｡⁠ᐟ⁠\",en
101,Nowadays am just Obsessed with this song ,en
102,Truly an ace,en
103,True love is born from understanding. Love isn't what you say love is what u do.,en
104,I'm not blink but this song is just ️️️️️️️️️️️️️️️️️️️️️️️️️️,en
105,"Keep Fighting Hard For Money, Lalisa, Shoong and SG! Almost There! Go Go Go!",en
106,lilies let's get this amazing performance vid to 1B.. we need to increase our daily streams to 800k at least. pls stream harder ,en
107,Música e vídeo icônicos. Lisa rainha.,pt
108,IT'S THE WEEKEND... GET IT LISA ,en
109,"Keep It Up, Keep It Up, Keep that Lisa spirit up!",en
110,Still trending number 1 for music after a week? THE POWER,en
111,Queen of kpop,en
112,Great Job!!!!!!! Blinks and Lilies we are the best!,en
113,Blackpink Lisa the epitome of elegance at Bulgari events.,en
114,I love your songs,en
115,"Lilies stream Lisa on the YouTube site with Mv quality at 1080p and volume at 75, volume is considered to be using headphones ♡♡",en
116,"LISA DEMONSTRANDO  QUE E A MAIOR , SÓ COM UM ANO DE LANÇAMENTO ELA JÁ ESTÁ PRESTES A CHEGAR A 1B , CONTINUEM ASSITINDO !",pt
117,"Yes, the queen of K-pop",en
118,In this inflation…this song is what we need,en
119,NEVER MİND THOSE WHO ENVY YOU. YOU ARE ALWAYS PERFECT AND ALWAYS BE.,en
120,The Best,en
121,"Watch it falling for me
 I love the way that feels",en
122,Listen to this song 24/365 luv u Lisa,en
123,Linda money música muito boa para se ouvir,pt
124,THIS IS THE BEST SONG EVER,en
125,"We gain 1M in 2 - 3 days, but Solo gets 20K at most daily, so let's be harder, and stream more, lisa should be the first female kpop soloist to hit 1B on utube, then 8th guiness record will be 9n lisa's frame",en
126,I can't wait to see her at Bvlgari event tomorrow,en
127,Almost 2 months since the release but still charting. That's an impact. It's organic.️,en
128,Love my queen.. can't wait for Macau concert,en
