,comentario,liguagem
70,Perfeição é isso; maravilhoso,pt
71,"Que linda música e letra! Fazem uma combinação fantástica! Que orgulho 
Estava ansiosa que saísse a música ",pt
72,Sou apaixonada por cada Canção!!,pt
73,Estou muito feliz por ter chegado aqui cedo para ouvir esta música incrível antes de atingir milhões ,pt
74,"Os meus sinceros parabéns por este novo single tão maravilhoso️️Uma história sem dúvida linda linda, sem palavras para descrever toda a gratidão e felicidade que desperta em mim ao ver e ouvir este som incrível de dois artistas maravilhosos que para mim são muito especiais!! De onde veio a inspiração para a escrita da letra da Sem ti”? Abraço enorme",pt
75,"Fernando, Fernando, sempre a subiiiir  muita vibe aquii ",pt
76,"eu adoro todas as musicas do fernando daniel, ele tem musicas altamente e a voz dele, e incrivel, parabens daniel, tens uma voz linda e tu cantas muito bem , e es o meu cantor preferido, parabens",pt
77,As vozes combinam mito bem...e a musica e muito boa ;),pt
78,Amo este som! Tem tanto sentimento.... Parabéns aos dois pelo vosso sucesso abraço do Alentejo para vocês. Continuem assim meninos ,pt
79,"Olá Fernando!   grata pelo Bem que dás ao Mundo, Bênçãos para ti e para os Teus , da Anabela Pais ",pt
80,"""Foram horas sem ti , que se tornaram dias sem ti""  
Isto está incrível Tenho muito orgulho em ti",pt
81,Ta top! Duas vozes q adoro ouvir,pt
82,"Simplesmente MARAVILHOSA!! Vocês são um espanto, amo os dois!",pt
83,"Todas as tuas músicas são lindas, e esta não podia ser exceção  cada vez brilhas mais  e mesmo o meu coração não aguentando com tanto talento , continua assim, encantador ️",pt
84,"Fernando Daniel e Agir as vossas vozes combinam muito bem.
Adorei o Videoclipe e adorei a Música. Sucesso para os dois.",pt
85,"Adorei!!!
Vocês fazem a combinação perfeita ️️",pt
86,Adoro esta musica ouço todos dias de manhã,pt
87,"Grande música, com dois excelentes cantores , o Fernando Daniel e Agir.",pt
88,Queremos a Sem Ti em primeiro lugar das tendências #7,pt
89,"Fernando tu és uma inspiração para mim sem dúvidaa, vocês são incríveisss.... Fernando és incrivellll ate à luaaa mesmoooooooooooooooo!",pt
90,"Mais uma música excelente para passar na rádio  
Adoro isto ️",pt
91,Meus dois cantores favoritos. A música está perfeita!,pt
92,Muitos parabéns!! Não me canso de ouvir!!!,pt
93,A Sem Ti tem que estar em primeiro lugar das tendências,pt
94,2 excelentes cantores parabens.   Tudo de bom,pt
95,Esta perfeito! Bela combinacao Fernando Daniel e Agir! Parabens e obrigado.,pt
96,Grande Fernando. Para além de ser um dos melhores cantores em Portugal é um dos melhores jogadores de among us nas Lives do Tji,pt
97,"Uauu que música maravilhosa!! Adorei mesmo, está muito boa As vossas vozes ficam mesmo bem juntas Parabéns ",pt
98,Parabéns está brutal! As vossas vozes ficam fantásticas juntas. ,pt
99,Muito bom!!!!!!!!!!!!!,pt
100,"Um sonho tornado realidade  . 
Espetacular.",pt
101,Sensacional ... Adorei a vossa dupla fonciona muito Bem a música é Incrível ... Parabéns e Obrigada ! ️️️️️️️🇵🇹,pt
102,Eu adorei . O melhor cantor de portugal. Posso ser nova mas é a minha opinião. E tenho adorado o the voice kids. Grande fã.,pt
103,"PARABÉNS aos dois, as vozes encaixam muito bem......muito sucesso!!!!",pt
104,Agora é a minha música favorita... eu adoro o teu trabalho,pt
105,"A música está super fixe, curti bastante!!! estou viciada beijoooo",pt
106,"Fernando a tua voz é ..., nao tenho palavras",pt
107,Portugal e os nosso grandes artistas !,pt
108,Muito bom! Grande som o7,pt
109,"Que música linda, que junção perfeita  Parabéns ",pt
110,Como é que esta musica ainda nao chegou top 1 das trends ?,pt
111,Adoro ,pt
112,Está ótima a música ,pt
113,Adoro a música... Parabéns :),pt
114,"Sara para sempre a nossa estrelinha
Só queria que acontecem milagres e que tu voltasses ️
Porque é que as pessoas boas vão tão depressa ?",pt
115,Que música linda parabéns. Amei,pt
116,"E quando esta malta se junta dá isto TOP,  GRANDE JUNÇÂO",pt
117,Grande som parabéns aos dois foram fantásticos,pt
118,"Amei a vossa música, estão de parabéns. Sou muito tua fã",pt
