,comentario,liguagem
67,Música perfeita! harmonia maravilhosa! Parabéns!,pt
68,Luan + giulia = perfeição,pt
69,"Amo tanto tanto essa música, esse clipe . Inesquecível...",pt
70,A voz dela e maravilhosa não existe isso vey que voz surreal maaaanooo,pt
71,eu adorei essa música ,pt
72,"""É que sou inesquecível,"" amor próprio minha gente, quando a pessoa se garante.",pt
73,Amo essa música!,pt
74,"Inesquecivel mesmo, não tem como parar de ouvir essa musica!",pt
75,"Inesquecível, dois talentos que  nosso coração ️️️️ de fã ,amaaaa demais.giulia e Luan duas estrelas top de categoria nota 10000000 que talento, incrível,que música linda , não sai da minha mente inesquecívelllllllllllll.",pt
76,Eu amo essa música ,pt
77,"Genteee que clipe lindooo ,que  música maravilhosa ,que sintonia ,to apaixonadaaaaaaaa.

Obs: curtam os comentários para engajar o clipe.",pt
78,"Eu não paro de escutar as músicas da giulia, meu deus amooo ",pt
79,Você tem um talento incrível ️,pt
80,Os dois melhor cantores brasileiros fazendo uma música perfeitoooo,pt
81,"Não sabia, amor, se isso era amor
Mas eu sei o que sentíamos
Tu e eu, tu e eu, tu e eu contra o mundo 
Que hermosa canción ",pt
82,Nossa ! Esse clip ficou muito bem produzido . Todo dia aqui ,pt
83,"LETRA - Inesquecível 

Vou começar dizendo
Cê nunca me deu um final",pt
84,Tô presa nessa música não paro de ouvir tô muito viciada,pt
85,"Desde q foi lançada a música fica grudada na cabeça sei a letra de cor
Obs:""Sou inesquecível ""mandei ao meu ex a diferença é q ele n me esquece agente terminou a 5 meses a trás e até agora n me esquece kkkkkk aiai",pt
86,Minha música favorita ️,pt
87,"Excelente canção, Inesquecível ",pt
88,"Esse sotaque carioca da Giulia,  representa tão bem a gente do  Rio ineXquecível  kkkkkkk amo",pt
89,"Essa MSC e dela, sempre foi e sempre vai ser já faz 3 anos e eu não consigo te esquecer, as vezes me pego pensando em você e de como vc era perfeita pra mim, espero que esteja bem e MT feliz já deve ter realizado seu sonho te amo Jéssica Gonçalves vc e inesquecível ️",pt
90,Essa música é PERFEITA ,pt
91,Depois de 1 ano voltei para ouvir ,pt
92,Giulia vc é linda.. talentosa em português..espanhol..inglês .. inesquecível! Top Pop Feat esse com Luan! Sucessooo,pt
93,Esses dois seguem tendo mais química que meu cabelo  inesquecível ,pt
94,Vemos claramente o novo hit do Brasil,pt
95,Essa música já era pra ter umas 200 milhões de visualizações. Aff hino injustiçado ,pt
