,comentario,liguagem
98,"AMOOOOOO

“Sente essa brisa haters”, só assustei palanganzãn FAÍSCA ️ pra queimar memu TODOS que falaram.",pt
99,Amém ,pt
100,Lindos ,pt
101,É incrível como tem ser humano que deseja a separação de duas almas,pt
102,Saí da live para ver o videoclipe ,pt
103,Sinada está a surpreender muito grande vídeo maker,pt
104,. Não  maiaram nesta música yeah!...Tpo top 100%top️️️,pt
105,Ficou show,en
106,Muito obrigado,pt
107,Som do ano,pt
108,vídeo lindo  ,pt
109,"Casal bwe conectado, adoro vocês, forsm feitos um pro o outro",pt
110,Muito forte,pt
111,Estou à esperaaa,pt
112,Estou ansiosa .... ,pt
113,Amo vocês alice julie e Anderson Mário,pt
114,amor é lindo,pt
115,Afro the best song. 🇲🇿,en
116,️ lindos,pt
117,️️só aumentou no love,pt
118,"Primeiro Vídeo Clip seu com o cabelo organizado, Gosteii do Clip estão de parabéns",pt
119,Boa música,pt
120,Agora sim Família. O meu novo Videoclipe já se encontra disponível neste link   https://youtu.be/pWoCc2AJu6E,pt
121,o problema dessa música e que acaba.,pt
122,Eu que vim sem deixar passar horas amei amei amei amei   me adota só por favor  amo vocês,pt
123,Força mano,pt
124,Começou ,pt
125,Gostei muito Deus abençoe esta união,pt
126,"Não Gostuei, Asmei ",pt
127,Melhores de Angola,pt
128,"Granda video, se alguém deixa like nesse comentario, volto para assistir de novo.",pt
129,Estou on para apanhar primeira mau🇲🇿,pt
130,Aguardando ,pt
131,Eu também estou ansiosa,pt
132,Show Anderson,en
133,"Vocês merecem
Nu stragou",pt
134,@andersonmario hit Maker,en
135,Mo puto mais força Angola 🇦🇴 to the world ,en
136,"Parabéns para vcs🥹🥹🥹🥹
Vídeo lindo",pt
137,Top,en
138,Top top,en
139,gostei do love,pt
140,boa,en
141,Anda logo por favor a minha filha está a chorar,pt
142,boa coisas nao demora,pt
143,"Gostei , mais esperava mais .",pt
144,Nu xtragou memu. Só vão falar memu,pt
145,Assim esperavam que a barriga crecesse pra fazerem o vedeo kkk,pt
146,A música está ótima. Mais o vídeo não tem lá muito sentindo  ,pt
147,Em dia,pt
148,Então ️,pt
